id,question,correctanswer,answera,answerb,answerc,answerd
102225,testable hypothesis student science fair project,d,moon ice,too much caffeine causes cancer humans,dinosaurs became extinct because supply decreased,corn grow better under natural sunlight fluorescent white
102226,scientist uses angstrom units measure distance between two points measuring,a,atoms,cities,continents,stars
102227,person lying still on spring mattress true about forces acting,c,tension springs making them contract under weight person,force gravity greater tension springs,gravity pulling person towards ground but compression springs pushing up against,friction springs working against gravitational pull person
102228,forest ecosystem spotted owls make homes cavities dead trees this habitat home rodents feed human activities such logging caused population owl decline from information explains relationship humans,c,humans eliminated predators owls so,humans moved owls zoos so fewer woods,humans taken away resources needed owls so fewer,humans increased available source owls so
102229,students conducted investigation green bananas they hypothesized onion placed near banana could rate ripened one three containers fourth container but no explains why left out,b,onion contaminate fourth trial,container without onion control,three containers onions enough conduct test,container without onion independent variable
102230,gardener wants ability garden soil retain should add,d,coarse sand,loose gravel,nitrogen pellets,organic material
102231,when air temperature ° f c mist water droplets sprayed on person moisture quickly disappears result cooling effect even if liquid surrounding sensation explained,b,droplets lose heat travel through air,droplets absorb heat skin evaporate,particles liquid move slower gas causing cooler,particles gas farther apart liquid causing feel cooler
102232,molecules important living things smallest size,a,salt,carbohydrates,fats,proteins
102233,darwin theory natural selection determines organism ability survive reproduce,d,organism determination survive,environment ability adapt climate,environment response human pollution,organism genetic adaptations environment
102234,cones jack pine tree require great amounts heat release seeds when released,b,during flood,after fire,during drought,after disease
102235,student learns year mercury about earth days this means takes,d,travel orbit around moon,complete rotation axis,switch orbits nearest planet,make complete orbit around
102236,helena investigates how enzymes important processes role biochemical activity explained,c,enzymes work ph levels,enzymes decrease rate metabolism,enzymes enable reactions occur lower temperatures,enzymes raise activation needed reaction
102237,physical property substance classified,c,hardness,thermal conductivity,reactivity,density
102238,explains day night cycle,a,rotates once day axis,revolves around year,closest during day,tilt changes throughout year
102239,decomposers fertility soil prevent dead building up environment way do make fertile,b,adding,adding nitrogen,removing excess,removing excess minerals
102240,action example exothermic,c,baking bread,cooking egg,making ice cubes,evaporation
102241,reproductive structures flowering involved generating seeds fruit located,a,flower,roots,stem,leaves
102242,student observes glowing band across night sky this,b,orbiting planets solar,partial view milky way galaxy,asteroid orbiting,stars distant galaxy
102243,if force acts different objects masses then object smaller do,b,accelerate slowly,accelerate quickly,accelerate,direction
102244,reaches,a,radiation,conduction,convection,thermal expansion
102245,vultures scavengers help ecosystems quickly consuming dead,c,speeding up decay,taking nonliving matter environment,slowing spread disease,helping distribute seeds
102246,if fox eagle eat some ecosystem relationship could classified,a,competition,mutualism,predation,parasitism
102247,student predicts if air calm specific night temperature inversion may occur could strong winds prevent forming,c,preventing dissipation hot gases emitted fossil fuel combustion,carrying cool air masses higher altitudes much colder,mixing warm upper air layer cool lower,increasing evaporation rate cold surface
102248,as part study scientist observed number molecular changes matter observations provides evidence physical,d,using heat burn log fireplace,using produce sugar,cake baked many ingredients,bottle broken many small pieces
102249,copernicus changed way people viewed solar,a,claiming orbit about,inventing then improving telescope,writing theory infinite universe,showing planetary orbits elliptical
102250,team working cancer treatment must make record detailed observations during mitosis way findings n,c,scientific map,scale model,scientific drawing,labeled diagram
102251,affect strength electromagnet,b,number times wire looped around core,size object being attracted core,type material core,material core
102252,part rock cycle transforms compressed formed sea organism shells harder denser,d,igneous rock becoming sedimentary,igneous rock becoming metamorphic,metamorphic rock becoming igneous,sedimentary rock becoming metamorphic
102253,atom reactivity property helps classify element metal semimetal nonmetal nonreactive elements periodic table,d,middle,scattered throughout,left side,right side
102254,prolonged exercise stimulates muscle absorb sugar blood this mechanism reduces stress placed body signaling produce,a,insulin,lipids,hemoglobin,hydrochloric acid
102255,lab technician places colony bacterial nutrient rich growth medium event observe microscope,a,division,cellular respiration,heat production,storage
102256,carbon being released ecosystems dioxide gas known,c,evaporation,transpiration,respiration,photosynthesis
102257,conversion occurs whenever coal burned,d,mechanical electrical,mechanical thermal,electrical,thermal
102258,estimated approximately years old,d,million,million,billion,billion
102259,introduction asian tiger mosquito occurred population yellow fever declining least reason declined,d,breeding sites were taken over asian tiger mosquito,interbreeding mosquito produced sterile offspring,parasites asian tiger mosquito affected yellow fever,yellow fever mosquitoes were preyed upon asian tiger
102260,describes role mushrooms ecosystems,d,capturing sunlight,consuming living material,taking animal hosts,breaking down dead material
102261,sound waves travel fastest through,a,rock,seawater,space,atmosphere
102262,brittany pedaled her bicycle quickly level surface when she stopped pedaling coasted slowed came stop happened moving,a,transferred heat due friction,reabsorbed brittany muscles,stored bicycle wheels potential,transferred air form visible
102263,line graph measured variable,a,changing constant rate,nearly equal several trials,being compared control,observed point
102264,human ovaries reproduction females example reproductive,c,cells,tissues,organs,systems
102265,type inheritance controls blood types humans,c,incomplete dominance,polygenic inheritance,multiple alleles,recessive genes
102266,using nonrenewable resources energy produces waste products can long term negative effects subsystems source longest,b,natural gas,uranium,crude oil,coal
102267,natural selection cannot occur without,c,competition unlimited resources,gradual warming,genetic variation,asexual reproduction
102268,describes orbit moon around,c,circular period about month,circular period about week,elliptical period about month,elliptical period about week
102269,rolanda growing tomato plants her garden she has created compost pile been adding around help fertilize them solid waste organic material broken down microorganisms presence oxygen where safely stored handled applied environment primarily rely order composting work,d,producers,consumers,scavengers,decomposers
102270,many hold theory dinosaurs were forced extinction major asteroid collision although itself probably did kill directly impact led,c,volcanic eruption,continental drift,global climate,introduction
102271,many fertilizers contain organic materials helpful orchard but effect rain causes them run off freshwater ecosystem addition waste commonly affect ecosystems,d,increasing biodiversity,increasing clarity,decreasing algae blooms,decreasing oxygen levels
102272,scientist cross pollinates tomato plant resistant viruses produces large tomatoes this example,c,natural selection,asexual reproduction,selective breeding,genetic engineering
102273,accurate concerning neurons involved reflex arc,c,motor neurons convey information central nervous,axons receive information while dendrites convey neurons,interneurons incoming information determine response,sensory neurons convey information away central nervous
102274,two processes involved formation sand dune describe forms,a,wind erosion then deposition,plate movement then deposition,wind erosion then,erosion then plate movement
102275,proteins differ another,c,monomers compose them,basic structure amino acids,number sequence amino acids contain,formed
102276,type instrument record earthquakes,a,seismograph,surface wave graph,magnitude graph,intensity graph
102277,according fossil record earliest life forms develop were,b,aerobic bacteria,anaerobic bacteria,eukaryotes,multicellular bacteria
102278,action learned behavior,c,bird builds nest,spider spins web,lion cub practices hunting skills,an earthworm moves away bright
102279,student observed sample water three states matter should describe liquid state,a,kinetic solid state,solid state,less kinetic solid state,less volume solid state
102280,statements explains why earthquakes occur frequently california massachusetts,b,rock found california igneous but massachusetts sedimentary,california located boundary crustal plates but massachusetts,rock under california soft but massachusetts hard,california located continental plate but massachusetts
102281,early human genome project identified sequence base pairs genes dna with information many functions still unknown currently studying order learn about them significance genetic discovery,d,provide methods creating diseases,lead faster chromosome replication,lead simpler structure dna,provide ways treat diseases
102282,large industrial cities emissions fossil fuels cause atmosphere change allows,c,increased inorganic matter,increased fertilizers crops,increased buildup greenhouse gases,increased rainfall rates near power
102283,magnitude gravitational force planets depends,d,speed planets rotate,nearby planets,volume planets,distance planets
102284,phobos large objects orbit planet mars because orbits should classified type,b,asteroid,moon,comet,meteor
102285,teacher performing demonstration about static electricity his class rubbing balloon against wool sweater sticks particles exchanged during,d,atoms,protons,neutrons,electrons
102286,student working on science project display school fair to communicate why her conclusions valid should included,d,list authoritative sources supports her conclusion,instructions viewers repeat her procedures,clearly illustrated diagrams scientific principles involved,complete write up her experimental method data collected
102287,sherman needs describe force toy truck engine exerts factors must included description,d,magnitude acceleration,velocity,speed direction,magnitude direction
102288,oxygen reacts iron produce rust hydrogen describes both reactions,d,mixture formed case,solution formed case,both state elements involved,molecules formed but elements exist
102289,factor cause person develop fever,b,leg muscle relaxing after exercise,bacterial population bloodstream,several viral particles skin,carbohydrates being digested stomach
102290,brain spinal cord parts,a,nervous,excretory,endocrine,respiratory
102291,sediments riverbed result action nearby,d,heat,faulting,pressure,weathering
102292,modern theory origin universe proposes first atoms formed were primarily element,d,iron,carbon,helium,hydrogen
102293,an object weight kg surface earth if were transported mars explains why changed,c,density object greater on mars,volume object greater on mars,gravitational force greater on mars,atmospheric pressure less on mars
102294,placement preserved layers formation gives evidence support theory evolution known,b,genealogy records,fossil record,comparative anatomy,molecular biology
102295,forces hold atoms together element determine,d,conductivity,melting,hardness,melting hardness
102296,property classify substance,d,melting,density,thermal conductivity,above
102297,andes mountains south america formed oceanic plate shifted beneath continental landforms usually associated type boundary,b,barrier islands,ocean trenches,mid ocean ridges,volcanic island arcs
102298,structures produces male gametes humans,a,testes,ovaries,scrotum,fallopian tube
102299,visual radio x ray telescopes astronomers work detecting,b,waves emitted stars visible spectrum,wavelengths radiation emitted stars,trace amounts elements created fusion reactions within star,invisible electromagnetic wavelengths emitted stars
102300,physical occurs,c,atoms rearrange form molecules,compounds mixed together forming completely compound,reversible occurs substance,above
102301,according big bang theory element formed first,b,dioxide,hydrogen,oxygen,nitrogen
102302,functions membrane except,c,surrounding protecting contents,releasing waste products,producing processes,allowing gases enter
102303,why protein important part healthy diet,c,needed glucose,needed store nutrients,needed repair tissue,needed produce
102304,job white blood,c,transport oxygen,remove waste,fight disease,enable reproduction
102305,botanist developed fertilizer tested different types under conditions results indicated increased growth way validate,a,another lab replicate tests,look over results several times,develop hypothesis test,procedure
102306,some immune cells actively involved ingesting destroying presenting invading microbial antigens surface stimulate produce antibodies responsible initiating such response,b,mast,phagocytes,b lymphocytes,t lymphocytes
102307,life planet whose atmosphere contains abundant,b,neon,oxygen,hydrogen,sulfur dioxide
102308,vestigial structure non functioning organ had function evolutionary ancestor structures lines evidence evolution come,b,molecular biology,comparative anatomy,geology,genetics
102309,function wall,c,provide,control activities,provide structure shape,convert
102310,team scientists discovered compounds rain forest report may help patients heart disease action validate discovery,b,discuss results highly respected,ask review replicate results,retain data records minimum years,manufacture pills containing compounds sale general public
102311,an investigator finds seashell fossil sedimentary layer concludes organism lived exact location second researcher interprets evidence way states long distance away explains individual could elsewhere proposed,c,organism member many locations,organism evolved over survive environment,currents dragged organism remains current location before fossilization,predators carried fossil locations movement patterns changed
102312,mutation dna sequence affect protein produced gene if,d,codon reading frame shifted,mutation point rather addition,mutation somatic cell rather sex,amino acid sequence
102313,may form direct result star collapsing,d,constellation,galaxy,protostar,supernova
102314,resource potential production renewable electric,d,coal,oil,natural gas,geothermal
102315,suppose new fuel cars derived coal can go twice far on tankful gasoline you categorize,b,renewable fossil fuel,nonrenewable fossil fuel,renewable biomass fuel,nonrenewable biomass fuel
102316,groups uses sunlight convert dioxide sugar oxygen,d,carnivores,decomposers,herbivores,producers
102317,locations solar contains asteroids,c,surface,ring saturn,mars jupiter,mercury venus
102318,parts cycle,d,freezing thawing,growth reproduction,evaporation precipitation,photosynthesis respiration
102319,safety equipment should taken field trips,c,gloves,fire extinguisher,first aid kit,goggles
102320,after formation but before planets property our solar primary factor overall composition,b,formation elements,distribution elements solar nebula,supernova star previously where now,reactions hydrogen nebular dense zones form heavier atoms
102321,an earthquake crust under ocean releases sound waves accurately describes spread,a,spread directions away source,remain trapped near source pressure,travel mostly horizontally along ocean floor,travel mostly upward toward surface
102322,central nervous consists,d,brain,muscles,spinal cord,both c
102323,during lab investigation scientist heats solid substance observes two melting points able separate resulting liquids classifies original,b,atom,mixture,element,compound
102324,several interchangeable parts manufacture automobiles some examples batteries windshield wiper blades spark plugs tires advantage over non,d,interchangeable parts generally expensive custom made automobiles,interchangeable parts break often now years past automobiles,interchangeable parts plentiful custom made automobiles,interchangeable parts fit many kinds automobiles
102325,ball thrown straight up describes motion while maximum height,b,speed acceleration constant,velocity zero acceleration constant,speed acceleration changing,velocity zero acceleration changing
102326,human muscle cells need nutrients oxygen during exercise able meet needs increasing,d,digestion,excretion,secretion,circulation
102327,orbit earth almost circular period about days compared objects usually highly elliptical orbits periods over years,c,asteroids,meteorites,comets,moons
102328,renewable resource,d,coal,minerals,petroleum,sunlight
102329,rich beds marine fossils been florida by dating determine,c,florida collided north american continent,date moved onto dry land,period during florida covered,atmosphere humid today
102330,diseases transmitted,a,infectious,inherited,environmental,congenital
102331,function motor neurons nervous,d,directly apply force skeletal,gather information about stimuli,transmit messages brain,directly control action muscles
102332,viking i lander was sent mars analyze atmospheric gases samples,a,space probe,space shuttle,lunar module,natural satellite
102333,metabolic functions fall categories breaking down process catabolic building up anabolic example,b,respiration,protein synthesis,oxygen transport,carbohydrate digestion
102334,describes why planets difficult see,c,refract,absorb,reflect,block comes
102335,community biodiversity variety specific components,c,density,continuity,richness,location
102336,scientist finds bones dinosaur could help determine approximate age,d,birds living area bones,weather conditions area bones,kinds trees living area bones,index fossils area bones
102337,magnetic field helps produce aurora borealis having effect incoming solar particles,c,adding charges,adding masses,providing pathway focus collisions atmospheric gases,providing start reactions atmospheric gases
102338,for certain butterfly south pacific island females carry bacterium kills males before hatch within year population male butterflies increased gene discovered may inhibit reproduction important factor natural selection,b,offspring equal chance surviving,there inherited variation individuals,parents produce enough offspring replace themselves,mutations advantageous originated
102339,renewable resource nevada,d,zinc metal,gravel deposits,petroleum products,geothermal
102340,describes atom,c,protons electrons grouped together random pattern,protons electrons grouped together alternating pattern,core protons neutrons surrounded electrons,core electrons neutrons surrounded protons
102341,class studying density rock samples scientific equipment do need determine,c,microscope balance,beaker graduated cylinder,graduated cylinder balance,microscope graduated cylinder
102342,year measure,c,time,energy,distance,direction
102343,hydrologist studying acidity level city lake she collects samples twice week takes them her lab test after testing places data graph tells engineers tests indicate ph been steadily dropping over past few months steps way check accuracy,b,retest samples,retest original samples,show graphs engineers,show samples engineers
102344,events occur during prophase mitosis except,c,pairing chromosomes,spindle formation,crossing over,condensation dna
102345,heart chambers responsible contractions generate pressure forces blood lungs,b,left ventricle,right ventricle,right atrium,left atrium
102346,until recently ultimate source energy every chain attributed discovered life sustained geothermal activity bottom ocean instead photosynthesis known synthesis chemosynthesis results production growth concluded information,a,photosynthesis production chain,chemosynthesis responsible production ocean,chemosynthesis just started occurring,photosynthesis rare ocean
102347,students collected corn seeds planted them same kind pots they type each pot placed front classroom where shines day everyday one month watered half were milliliters water after measured tall grewwhich hypothesis matches experiment listed above,c,fertilizer seed receives taller grow,sunlight seed receives taller grow,seed receives taller grow,seed planted taller grow
102348,student uses clay build models ocean plate continental characteristic cannot accurately represented,c,shapes plates,relative sizes plates,relative densities plates,arrangement plates relative another
102349,science teacher filled balloon helium gas second carbon dioxide rose ceiling fell floor inference based demonstration,b,balloon behaved differently,helium gas lower density air,dioxide causes balloon expand,balloons filled gases
102350,gravitational force exerted object depends,c,volume,weight,mass,size
102351,galileo galilei lenses construct first telescope his allowed him observe many objects space invention data he gathered directly contributed understanding,b,center universe,planets revolve around,stars eventually explode,universe many galaxies
102352,structure virus common prokaryotic,b,wall,nucleic acid,ribosome,capsid
102353,way science student help maintain laboratory equipment,c,perform investigations using materials,throw away glass items after investigations complete,clean up materials workspaces after investigations,eat laboratory after investigations complete
102354,cell tree turtle human contain,a,dna,wall,chlorophyll,tissue
102355,outer layers astronauts space suits reflective order protect them,b,vacuum space,intense sunlight,micrometeoroids,loss
102356,complete fossil been type bird cannot identified determined about,c,bird lived very short,bird lived dry environment,bird existed but now extinct,bird well preserved during fossilization
102357,scientist investigated effect workplace stress on heart disease humans men various ages were divided groups based whether described work very stressful during year investigation monitored health man bias,c,investigation lasted year,organ studied heart,investigation tested men,age participants varied
102358,selective breeding resulted resistant pests produce higher yield fruits vegetables disadvantage result,a,decreased genetic diversity,habitat destruction,overpopulation,increased erosion
102359,grassland drought dries up surrounding sources adaptation develop population living environment,d,large intracellular spaces store oxygen,prop roots help support shallow,broad leaves promote sunlight absorption,waxy covering leaves reduce evaporation
102360,laboratory test involving onion onions grew larger bulbs nitrogen fertilizer added improve reliability,b,type,duplicate test another laboratory,repeat test phosphorus instead nitrogen,develop type nitrogen fertilizer test onions
102361,animals mechanisms,a,transport nutrients,perform photosynthesis,regulate nerves,produce flowers
102362,research scientist repeatedly observes bird avoiding specific butterfly even though eats types butterflies explains behavior,d,behavior random act,behavior result genetic mutation,behavior inherited bird parents,behavior learned over lifetime bird
102363,college student looks through microscope blood cells states red important white this,d,fact,scientific conclusion,scientific hypothesis,opinion
102364,an astronomical unit au refers distance,a,sun,moon,moon,nearest star
102365,organelle cellular respiration occur,d,nucleus,endoplasmic reticulum,chloroplast,mitochondrion
102366,object gravitational force so strong forms center solar,d,earth,pluto,moon,sun
102367,shows correct order organization,a,> tissue organ,> organ tissue,organ > tissue,dna > tissue organ
102368,several years ago researchers harvard wanted find out why some children read earlier ages than thought who were raised someone reading them learned sooner recent studies indicate eat meals family regular basis engage complex conversations tend do conclusion explains significance findings,b,children need person read them if good readers,children who eat family tend discussions promote reading skills,children need eat family practice reading,children who had books read them were learning anything
102369,characteristic magnetic field helps create phenomenon known aurora borealis,a,magnetic fields trap charged particles,magnetic fields release stream charged particles,magnetic fields transform charged particles,magnetic fields alter electrical charges particles near
102370,bracket fungus grows dead tree breaks down nutrients term classifies role ecosystem,d,producer,consumer,parasite,decomposer
102371,at mid atlantic ridge plates moving,a,away,towards,beneath,along side
102372,road cut shows layer shale top limestone this indicates,c,shale layer older limestone,fault occurred during deposition layers,environment changed times deposition,volcanic activity occurred layers were deposited
102373,two mutually insoluble liquids containing solutes dissolved substances shaken together test tube correctly describes happen,d,neither solute concentrate either liquid layer,both solutes concentrate liquid layer,solute concentrate liquid less soluble,solute concentrate liquid soluble
102374,species escape extinction if variations certain traits adapted environmental changes population come habitat,c,pressures environment,reproduction,random mutations dna,natural selection
102375,estimate number stars typical galaxy,d,tens,hundreds,thousands,billions
102376,small mammals many adaptations keep them warm winter help conserve heat,a,running,hibernating,huddling group,growing thicker fur
102377,an astronomer studying stars distance star x appears brighter y explains observation,a,star x larger y,star y larger x,star x reflects better y,star y reflects better x
102378,advantage hiker if he snowshoes walk across deep snow opposed regular hiking boots,c,he able slide ice,he able keep his feet warmer,his weight distributed over larger area,snow would melt quicker harder walk
102379,geologists obtain evidence changes history surface conditions layers because,b,older layers sedimentary form top younger,younger layers sedimentary form top older,younger layers igneous form top older,older layers igneous form top younger
102380,evidence rocks deep underground were once exposed surface,c,rocks been melted magma,rocks been broken faults,rocks been weathered,rocks been folded pressure
102381,carbon cycles through several subsystems sequence directly leads cycling result formation petroleum,a,biosphere lithosphere,atmosphere lithosphere,hydrosphere atmosphere,biosphere atmosphere
102382,living synthesize long chains amino acids called proteins substance provides information needed correctly sequence during protein synthesis,d,atp,mrna,trna,dna
102383,resource causes pollution,b,solar,coal,wind,water
102384,average rainfall nevada about inches per year reason low,c,high elevations deserts,location north equator,lack moisture air,great distance ocean
102385,student mixed baking soda vinegar observed reaction endothermic when,c,reversible,repeated,requires heat make happen,released
102386,geographic obstacle causes condense air mass moves,d,forests,oceans,prairies,mountains
102387,property rocks helped confirm modern theory plate tectonics,d,weathered wind roots,composition influences quickly weather,rocks land record scrapes made glaciers,rocks ocean record magnetic reversals
102388,correctly explains fertilization produces diploid,b,rna male female gametes transcribed producing dna,male female gametes fuse producing combinations alleles,alleles female gamete replicated producing complete genome,beneficial alleles gamete replace counterparts
102389,an air filled balloon shrank moved warm room refrigerator explains why,d,volume air decreased number particles,air decreased balloon cooled,external pressure balloon increased due lower,internal pressure balloon decreased due lower kinetic
102390,layers greatest density,c,crust,mantle,inner core,outer core
102391,as humans get older lens becomes rigid inflexible human eye difficulty doing,b,allowing enter eye,focusing detect distances,converting information electrical,seeing anything
102392,atoms soda,b,closely locked position vibrate,loosely connected collide move past another,free move independently collide frequently,loosely connected another flow but do collide
102393,cellular membrane surrounds every human cell protects transmits information about surroundings organelles inside organ provides similar function,c,endocrine,skeletal,integumentary,lymphatic
102394,evidence reaction,a,produced magnesium burned,evaporation solution,fizzing soft drink,heat bulb
102395,metal sample placed beaker boiling water after minutes removed picked up hand but still too hot touch matter interactions being illustrated,b,low specific heat,metals low specific heat,glass beaker good insulator,loses heat quickly air
102396,many animals hibernate survive during certain times year explains relationship hibernation animal competes resources,d,hibernation helps animal avoid being attacked predators,hibernation allows animal keep core temperatures colder,hibernation decreases need animal oxygen air cold,hibernation reduces need animal resources limited
102397,roger visited his grandfather who lives farm while he helped move hay out barn as worked began sneezing caused sneeze,d,circulatory,excretory,digestive,immune
102398,some species tolerant acidic others favored areas affected consequence human activity,a,mixing pollutants rain,erosion topsoil clearcutting,runoff fertilizer farming,thinning atmospheric ozone layer
102399,weight object even mass stays correctly identifies relationship,b,weight object depends volume,gravity affects weight object but,object depends weight size,magnetic fields affect but weight
102400,do rocks allow geologists interpret early history,b,formations cluster together give geologists idea minerals less dense,rocks record geologic events changing life forms past,rocks contain elements planets,formations contain information about past planetary alignment
102401,millions people living over world cancer is pandemic,a,no because cancer contagious,no because cancer always fatal,yes because millions people cancer,yes because people over world cancer
102402,types cellular respiration occur,c,only,animal,both animal,neither nor animal
102403,bacteria cause illness humans,d,destroying altering structures,weakening immune,causing common cold,releasing toxins harm
102404,without taking consideration any factors emigration rate effect population size ecosystem,b,population,decrease population,no population,none above
102405,measure received star known,d,parallax,redshift,absolute magnitude,apparent magnitude
102406,multicellular tissues comprised,d,organ systems,organs,organelles,cells
102407,form base ecosystems,b,scavengers,producers,consumers,decomposers
102408,reading left right elements period periodic table,c,reactivity,decrease atomic,atomic number,number electrons
102409,method dispose cardboard boxes utilized local grocery store,c,burn them once month,send them dumped remote area,them recycled future paper products,put them dumpster rest trash
102410,correctly describes why fewer hours daylight alaska during day april,c,rotation slows during day,rotation slows during night,rotation causes both day night,tilt axis causes both day night
102411,when hunting humans causes species become extinct may produce damaging effects throughout ecosystem cause damage,a,alteration web,degradation habitat,modification climate,reversal flow
102412,geological scale,c,random placement prehistoric fossils,disarray natural disasters,sequence geological events history,random placement sedimentary rocks
102413,reactions number atoms product,a,number atoms reactants,less number atoms reactants,greater number atoms reactants,number molecules reactants
102414,mount st helens cone shaped mountain formed molten material reached surface layers mountains form result events,c,hurricanes,earthquakes,volcanic eruptions,sediment depositions
102415,students measured took steel ball reach bottom container filled liquid conducted three trials four samples were identical volume temperaturewhich method presenting recorded results,c,listing recorded times each liquid trial,using pie chart compare volume liquid,creating bar graph compare average recorded times liquid,writing journal notes observations trial
102416,possible express firefly genes,b,recessive firefly genes dna,diverse forms life share common genetic code,genetic code fluorescent protein mutation,proteins engineered genes dna
102417,better chance surviving environment changes if,d,lives long,many places live,produces few offspring,many genetic variations
102418,with position continents today large bodies moderate,b,sea levels,climate nearby land areas,equator,solar radiation
102419,danger posed fish aquarium overpopulation bacteria caused algal bloom,b,decrease,reduction oxygen levels,decrease supply,removal minerals
102420,property allows transport materials through,c,expands solidifies,transparent,dissolves many substances,compound
102421,species lives region changes over temperate tropical survival probable if do,b,reduce requirements,adapt exploit changed resources,interbreed similar tropical,emigrate before complete
102422,plate movement can form features tectonic plates both constructive destructive force at type boundary crust formed,d,convergent,subduction,transform,divergent
102423,gym class student kicks soccer ball high air as goes upward type increasing,c,kinetic,thermal,potential,mechanical
102424,blood composed types transport nutrients wastes throughout because classified,a,tissue,organ,system,organism
102425,gas condensed liquid state atmosphere forms clouds,c,methane,nitrogen,vapor,dioxide
102426,must occur sediments form,d,precipitation,evaporation,partial melting,recrystallization
102427,many types seismic waves seismogram illustrate,b,1,3,4,10
102428,atoms elements part many organic molecules,c,calcium,magnesium,oxygen,silicon
102429,swamp plants die fall ground buried dying approximately long take possibly become fossil fuel,a,years,years,years,years
102430,why do perform multiple trials experiment,d,include additional variables experiment,complete steps experiment less,find less expensive way conduct experiment,likelihood accurate experiment results
102431,must occur order ecosystem continue exist,a,populations producers decomposers must stable,populations animals must continue decrease,there should populations consumers producers,there should fewer populations producers consumers
102432,an investigation performed determine angle ramp affects speed ball rolls down addition using same should also remain constant,a,releasing ball position trial,keeping ramp height trials,keeping ramp facing direction trials,measuring length ramp before trial
102433,subatomic particles approximately,d,neutrons electrons,electrons protons,electrons nucleus,protons neutrons
102434,opinion,b,chemistry physics major branches science,life science subject filled interesting information,geology oceanography subjects science,biology science studies complex
102435,third class lever least efficient systems because,b,third class systems shorter rods,input force must greater output,resistance force must greater effort,no fulcrum third class lever
102436,explains reason stars appear twinkle human eye,c,stars emit frequencies look like twinkling human eye,twinkling stars actually burning out,emitted stars bends travels through atmosphere,cones human eye cause stars appear like twinkling
102437,ionic bonds form sodium chlorine ions combined both,b,ionic compounds,elements,covalent compounds,molecules
102438,modifies proteins delivered rough endoplasmic reticulum,c,vacuole,lysosome,golgi apparatus,membrane
102439,biologists look similarities dna proteins biological molecules make theories about timetable evolutionary divergence techniques collectively known,c,recombinant dna technologies,dating,molecular clocks,geological timetables
102440,why reactants beginning reaction weigh product end,a,atoms rearranged,atoms appear,some atoms disappear,physical took place
102441,pat kinds plant foodquickgrow supergrow way find out helps particular type houseplant grow,c,put some quickgrow on plant living room supergrow type bedroom see grows,find out much kind costs because expensive probably better growing,put some quickgrow on few plants same supergrow type place see group grows,look advertisements quickgrow supergrow see says helps grow
102442,reaction releases occurs site,d,golgi apparatus,endoplasmic reticulum,cytoplasmic membrane,mitochondrial membrane
102443,main function vomiting reflex,d,rid wastes,expel no nutritional value,empty stomach too much,remove toxic material stomach before absorbed
102444,limestone sedimentary rock marble metamorphic even though makeup they classified rocks because,d,were formed fossils,took amounts form,formed times,formed methods
102445,who credited developing rabies vaccine human,b,jonas salk,louis pasteur,edward jenner,robert koch
102446,uses sound waves locate underwater objects,b,radar,sonar,telescope,microscope
102447,term year describe,b,fast travels space,distance travels year,large diameters stars,takes move through galaxy
102448,toothpaste commercial states brand higher concentration fluoride any available inferring advertised,c,pleasant flavor,recommended dentists,promotes good dental hygiene,expensive brand sold
102449,when cold front moves over land region warm moist air transfer energy occurs sinks pushes warmer upward as removed take place,d,ozone atmosphere decrease,less ultraviolet radiation reach land,absorbed area lakes,atmosphere undergo phase
102450,human cellular respiration breaks down sugar molecules after enter results,b,growth bacteria,release,activity enzymes,production oxygen
102451,craig training marathon wants create graph his position throughout race horizontal axis contain,d,distance units,speed units,velocity units,units
102452,compound,c,aluminum,carbonated,sodium chloride,carbon
102453,over past few centuries comets occasionally been observed sky difference moon,b,moon core ice while comet cores solid,comets large orbits around while moon,moon reflects light while comets generate own,comets collect debris travel space while moon gives off meteoroids
102454,position liver circulatory maximizes ability filter out harmful chemicals soon enter bloodstream blood travels,b,nervous,digestive,immune,excretory
102455,an exploratory robot sent planet mars gravity on weaker earth compared weight,c,less weight,less but equal weight,equal but less weight,equal weight
102456,when too much salt detected bloodstream brain secretes hormone helps retain reducing urine produced this example,a,feedback loop,acquired trait,balanced ecosystem,symbiotic relationship
102457,fossil records indicate first inhabited bacteria like organisms,a,were single celled,had organ systems,were multi cellular,had small appendages
102458,some communities forests cleared through burning deforested land farming negative consequence practice,a,decreased animal diversity,increased availability nutrients,greater access animals,less sunlight reaching ground
102459,astronomical factors over millions years earth history led changes global climate example factor affected,b,human activities increased greenhouse gasses,slight changes shape orbital rotation,cumulative effects tectonic plate movements over,massive volcanic eruptions
102460,do organism liver cells brain blood heart common,a,contain set dna,location,humans,cellular structure function
102461,onions reproduce bulbs parent bulb generates daughter duplicate genetic information advantage kind reproduction,d,population size remains constant,beneficial mutations inevitable,genetic variation maximized,large quantities individuals produced rapidly
102462,city outbreak disease affects unusually large portion population term describes,c,pandemic,plague,epidemic,infection
102463,company wishes build major golf resort above aquifer granted permission but builders must follow specific laws regulations during construction why been established,b,reduce money spent golf resorts,minimize impact pollution environment,protect rights humans over environment,prevent construction too many golf courses country
102464,pharmaceutical company released results study antacid lower acidity stomach order reduce discomfort pain showed patients tested average ph acid lowered reasonable because,b,stomach acidity cause discomfort pain,acidity increases ph range lowered,patients large enough sample size,stomach acidity cannot lowered anything but diet
102465,atomic atom,c,atomic number,group number,sum protons neutrons,difference protons electrons
